	CustomerID	Calendarday	month	PerformanceEvaluationPlanned	PerformanceEvaluationExecuted	PerformanceEvaluationAdHoc	TERRID	SAPECCSalesGroup	SAPECoeficient	APECoeficient	FPECoeficient	SAMEDAYVISIT	OVERDUE	UNDERDUE	OK	NOTOK	STATUS	V22	OVERDUEDAYS	TRESHOLD
61651	100005749	7/26/2017	7	1	1	 	Employee 50	Team 2	77,9	 	77,9	 	 	 	ok	 	ok	ok	 	,15
61661	100005749	11/29/2017	12	1	1	 	Employee 50	Team 2	80,45	 	80,45	 	 	 	ok	 	ok	ok	 	,15
61668	100005750	7/24/2017	7	1	1	 	Employee 50	Team 2	54,3	 	51,1	 	 	 	ok	 	ok	ok	 	,15
61676	100005750	9/11/2017	9	1	1	 	Employee 50	Team 2	54,3	 	56,2	 	 	 	ok	 	ok	ok	 	,15
61681	100005750	10/9/2017	10	1	1	 	Employee 50	Team 2	58,1	 	58,1	 	 	 	ok	 	ok	ok	 	,15
61690	100005750	12/4/2017	12	1	1	 	Employee 50	Team 2	58,1	 	58,1	 	 	 	ok	 	ok	ok	 	,15
61705	100005771	11/10/2017	11	1	1	 	Employee 74	Team 3	70,8013333333333	 	70,8013333333333	 	 	 	ok	 	ok	ok	 	,15
61716	100005777	6/15/2017	6	1	1	 	Employee 74	Team 3	48,7428571428571	 	48,7428571428571	 	 	 	ok	 	ok	ok	 	,15
61726	100005778	10/10/2017	10	1	1	 	Employee 74	Team 3	41,5633333333333	 	41,5633333333333	 	overdue	 	 	 	overdue	ok	8	,15
61742	100005779	11/10/2017	11	1	1	 	Employee 74	Team 3	41,837	 	41,837	 	 	 	ok	 	ok	ok	 	,15
61769	100005784	9/20/2017	9	1	1	 	Employee 53	Team 2	53,5875	 	55,4395833333333	 	 	 	 	 	 	ok	 	,15
61801	100005785	8/16/2017	8	1	1	 	Employee 53	Team 2	71,1714285714286	 	71,1714285714286	 	 	 	ok	 	ok	ok	 	,15
61873	100005789	10/6/2017	10	1	1	 	Employee 53	Team 2	50,3625	 	50,3625	 	overdue	 	 	 	overdue	ok	8	,15
61935	100005792	9/21/2017	9	1	1	 	Employee 53	Team 2	36,6	 	40,48	 	 	 	ok	 	not ok	ok	 	,15
61991	100005796	10/6/2017	10	1	1	 	Employee 53	Team 2	39,7125	 	55,0125	 	overdue	 	 	 	overdue	ok	8	,15
62007	100005799	5/18/2017	5	1	1	 	Employee 53	Team 2	59,5009615384615	 	59,3399038461538	 	 	 	ok	 	ok	ok	 	,15
62017	100005799	7/25/2017	7	1	1	 	Employee 53	Team 2	72,9625	 	72,9625	 	 	 	ok	 	ok	ok	 	,15
62034	100005799	11/14/2017	11	1	1	 	Employee 53	Team 2	65,6625	 	68,6736111111111	 	 	 	ok	 	ok	ok	 	,15
