SAPECCSalesGroup	TERRID	CustomerID	month	Visits
Team 1	Employee 42	100000821	5	0
Team 1	Employee 42	100000821	6	1
Team 1	Employee 42	100000821	7	0
Team 1	Employee 42	100000821	8	0
Team 1	Employee 42	100000821	9	1
Team 1	Employee 42	100000821	10	0
Team 1	Employee 42	100000821	11	0
Team 1	Employee 42	100000821	12	0
Team 1	Employee 42	100000871	5	1
Team 1	Employee 42	100000871	6	0
Team 1	Employee 42	100000871	7	0
Team 1	Employee 42	100000871	8	0
Team 1	Employee 42	100000871	9	1
Team 1	Employee 42	100000871	10	0
Team 1	Employee 42	100000871	11	0
Team 1	Employee 42	100000871	12	0
Team 1	Employee 42	100000874	5	1
Team 1	Employee 42	100000874	6	0
Team 1	Employee 42	100000874	7	0
Team 1	Employee 42	100000874	8	0
Team 1	Employee 42	100000874	9	1
Team 1	Employee 42	100000874	10	0
Team 1	Employee 42	100000874	11	0
Team 1	Employee 42	100000874	12	0
Team 1	Employee 42	100000903	5	1
Team 1	Employee 42	100000903	6	0
Team 1	Employee 42	100000903	7	1
Team 1	Employee 42	100000903	8	0
Team 1	Employee 42	100000903	9	0
Team 1	Employee 42	100000903	10	0
Team 1	Employee 42	100000903	11	0
Team 1	Employee 42	100000903	12	0
Team 1	Employee 42	100000908	5	0
Team 1	Employee 42	100000908	6	0
Team 1	Employee 42	100000908	7	0
Team 1	Employee 42	100000908	8	0
Team 1	Employee 42	100000908	9	0
Team 1	Employee 42	100000908	10	0
Team 1	Employee 42	100000908	11	0
Team 1	Employee 42	100000908	12	1
Team 1	Employee 42	100000909	5	0
Team 1	Employee 42	100000909	6	0
Team 1	Employee 42	100000909	7	0
Team 1	Employee 42	100000909	8	0
Team 1	Employee 42	100000909	9	0
Team 1	Employee 42	100000909	10	0
Team 1	Employee 42	100000909	11	0
Team 1	Employee 42	100000909	12	0
Team 1	Employee 42	100001930	5	0
Team 1	Employee 42	100001930	6	0
Team 1	Employee 42	100001930	7	0
Team 1	Employee 42	100001930	8	0
Team 1	Employee 42	100001930	9	0
Team 1	Employee 42	100001930	10	1
Team 1	Employee 42	100001930	11	0
Team 1	Employee 42	100001930	12	0
Team 1	Employee 42	100001933	5	1
Team 1	Employee 42	100001933	6	0
Team 1	Employee 42	100001933	7	0
Team 1	Employee 42	100001933	8	0
Team 1	Employee 42	100001933	9	0
Team 1	Employee 42	100002002	5	0
Team 1	Employee 42	100002002	6	1
Team 1	Employee 42	100002002	7	0
Team 1	Employee 42	100002002	8	1
Team 1	Employee 42	100002002	9	0
Team 1	Employee 42	100002002	10	0
Team 1	Employee 42	100002002	11	1
Team 1	Employee 42	100002002	12	1
Team 1	Employee 42	100002003	5	1
Team 1	Employee 42	100002003	6	0
Team 1	Employee 42	100002003	7	1
Team 1	Employee 42	100002003	8	0
Team 1	Employee 42	100002003	9	0
Team 1	Employee 42	100002003	10	0
Team 1	Employee 42	100002003	11	1
