XLS_RowNumber	CustomerID	Calendarday	month	PerformanceEvaluationPlanned	PerformanceEvaluationExecuted	PerformanceEvaluationAdHoc	TERRID	SAPECCSalesGroup	SAPECoeficient	APECoeficient	FPECoeficient	SAMEDAYVISIT	OVERDUE	UNDERDUE	OK	NOTOK	STATUS	OVERDUEDAYS
118049	100022460	2017-10-20	10	 	 	1	Employee 26	Team 5	89.64399999999999		89.64399999999999	 	 	 	 	 	 	 
118186	100022473	2017-12-22	12	 	 	1	Employee 39	Team 6	93.25		76.083	 	 	 	 	 	 	 
118194	100022475	2017-09-29	9	 	 	1	Employee 35	Team 6	92.02600000000001		54.853	 	 	 	 	 	 	 
118221	100022479	2017-12-28	12	 	 	1	Employee 37	Team 6	73.709		68.98899999999999	 	 	 	 	 	 	 
118272	100022481	2017-12-29	12	 	 	1	Employee 34	Team 6	94.241		86.01299999999999	 	 	 	 	 	 	 
118511	100022502	2017-08-11	8	 	 	1	Employee 61	Team 7	80.88600000000001		61.068000000000005	 	 	 	 	 	 	 
118521	100022502	2017-11-24	11	 	 	1	Employee 61	Team 7	85.759		59.878	 	 	 	 	 	 	 
118598	100022511	2017-06-29	6	 	 	1	Employee 6	Team 8	69.233		55.146	 	 	 	 	 	 	 
118607	100022513	2017-09-29	9	 	 	1	Employee 35	Team 6	86.5		53.375	 	 	 	 	 	 	 
118795	100022536	2017-08-11	8	 	 	1	Employee 59	Team 7	86.436		55.125	 	 	 	 	 	 	 
118872	100022543	2017-12-29	12	 	 	1	Employee 57	Team 7	80.1		40.05	 	 	 	 	 	 	 
118931	100022547	2017-12-25	12	 	 	1	Employee 26	Team 5	100.4		91.925	 	 	 	 	 	 	 
119056	100022556	2017-09-29	9	 	 	1	Employee 49	Team 4	84.829		68.02199999999999	 	 	 	 	 	 	 
119060	100022556	2017-10-20	10	 	 	1	Employee 49	Team 4	78.317		72.91199999999999	 	 	 	 	 	 	 
119062	100022556	2017-10-27	10	 	 	1	Employee 49	Team 4	78.317		72.91199999999999	 	 	 	 	 	 	 
119072	100022556	2017-12-29	12	 	 	1	Employee 49	Team 4	83.25399999999999		74.208	 	 	 	 	 	 	 
119263	100022598	2017-09-26	9	 	 	1	Employee 61	Team 7	84.4		54.405	 	 	 	 	 	 	 
119282	100022599	2017-06-27	6	 	 	1	Employee 35	Team 6	86.20200000000001		77.342	 	 	 	 	 	 	 
119297	100022599	2017-10-05	10	 	 	1	Employee 35	Team 6	76.09		83.512	 	 	 	 	 	 	 
119348	100022600	2017-12-28	12	 	 	1	Employee 41	Team 1	98.5		82.083	 	 	 	 	 	 	 
119349	100022600	2017-12-29	12	 	 	1	Employee 41	Team 1	98.5		82.083	 	 	 	 	 	 	 
119365	100022601	2017-11-24	11	 	 	1	Employee 37	Team 6	100.0		100.0	 	 	 	 	 	 	 
119582	100022625	2017-08-11	8	 	 	1	Employee 59	Team 7	64.392		47.379	 	 	 	 	 	 	 
119812	100022651	2017-09-28	9	 	 	1	Employee 63	Team 12	88.1		81.725	 	 	 	 	 	 	 
119814	100022651	2017-10-25	10	 	 	1	Employee 63	Team 12	88.1		88.1	 	 	 	 	 	 	 
119987	100022666	2017-12-14	12	 	 	1	Employee 28	Team 5	94.454		79.854	 	 	 	 	 	 	 
120311	100022692	2017-12-06	12	 	 	1	Employee 63	Team 12	69.667		75.667	 	 	 	 	 	 	 
120731	100022736	2017-05-11	5	 	 	1	Employee 19	Team 13	72.163		71.971	 	 	 	 	 	 	 
120840	100022741	2017-10-26	10	 	 	1	Employee 49	Team 4	43.513000000000005		40.792	 	 	 	 	 	 	 
120841	100022741	2017-10-27	10	 	 	1	Employee 49	Team 4	43.513000000000005		40.792	 	 	 	 	 	 	 
120851	100022741	2017-12-29	12	 	 	1	Employee 49	Team 4	55.446000000000005		50.736999999999995	 	 	 	 	 	 	 
120916	100022751	2017-09-21	9	 	 	1	Employee 64	Team 12	87.596		86.415	 	 	 	 	 	 	 
120973	100022754	2017-09-29	9	 	 	1	Employee 39	Team 6	90.986		43.489	 	 	 	 	 	 	 
121134	100022781	2017-12-28	12	 	 	1	Employee 37	Team 6	59.5		40.7	 	 	 	 	 	 	 
121365	100022809	2017-06-30	6	 	 	1	Employee 37	Team 6	90.0		90.0	 	 	 	 	 	 	 
121511	100022824	2017-05-25	5	 	 	1	Employee 29	Team 5	33.641999999999996		24.781999999999996	 	 	 	 	 	 	 
121661	100022840	2017-11-22	11	 	 	1	Employee 45	Team 4	78.75		77.933	 	 	 	 	 	 	 
121672	100022841	2017-07-27	7	 	 	1	Employee 38	Team 6	56.233999999999995		52.521	 	 	 	 	 	 	 
121981	100022874	2017-06-16	6	 	 	1	Employee 61	Team 7	80.933		76.408	 	 	 	 	 	 	 
121983	100022874	2017-06-22	6	 	 	1	Employee 61	Team 7	82.4		76.408	 	 	 	 	 	 	 
121985	100022874	2017-06-29	6	 	 	1	Employee 61	Team 7	83.5		76.408	 	 	 	 	 	 	 
121997	100022874	2017-09-14	9	 	 	1	Employee 61	Team 7	77.072		75.14699999999999	 	 	 	 	 	 	 
122050	100022880	2017-06-27	6	 	 	1	Employee 61	Team 7	85.759		53.091	 	 	 	 	 	 	 
122160	100022891	2017-06-23	6	 	 	1	Employee 61	Team 7	81.60300000000001	26.566999999999997	18.725	same day visit	 	 	 	 	same day visit	 
122167	100022891	2017-09-15	9	 	 	1	Employee 61	Team 7	82.046		60.117	 	 	 	 	 	 	 
122300	100022896	2017-12-22	12	 	 	1	Employee 26	Team 5	88.8		78.297	 	 	 	 	 	 	 
122467	100022905	2017-06-28	6	 	 	1	Employee 27	Team 5	91.5		91.5	 	 	 	 	 	 	 
122479	100022905	2017-11-10	11	 	 	1	Employee 27	Team 5	80.45		75.24600000000001	 	 	 	 	 	 	 
122481	100022905	2017-11-20	11	 	 	1	Employee 27	Team 5	87.381		75.24600000000001	 	 	 	 	 	 	 
122491	100022907	2017-06-30	6	 	 	1	Employee 37	Team 6	78.332		59.726000000000006	 	 	 	 	 	 	 
122683	100022928	2017-11-24	11	 	 	1	Employee 51	Team 2	60.611999999999995		60.367	 	 	 	 	 	 	 
122826	100022944	2017-06-30	6	 	 	1	Employee 6	Team 8	69.65		63.381	 	 	 	 	 	 	 
123111	100022971	2017-12-25	12	 	 	1	Employee 37	Team 6	39.705		41.338	 	 	 	 	 	 	 
123200	100022981	2017-10-05	10	 	 	1	Employee 35	Team 6	72.82300000000001		72.82300000000001	 	 	 	 	 	 	 
123262	100022986	2017-06-16	6	 	 	1	Employee 61	Team 7	76.28699999999999		55.457	 	 	 	 	 	 	 
123263	100022986	2017-06-21	6	 	 	1	Employee 61	Team 7	84.87299999999999		55.457	 	 	 	 	 	 	 
123265	100022986	2017-06-30	6	 	 	1	Employee 61	Team 7	84.87299999999999		55.457	 	 	 	 	 	 	 
123285	100022988	2017-10-05	10	 	 	1	Employee 40	Team 6	74.664		74.664	 	 	 	 	 	 	 
123411	100022998	2017-09-29	9	 	 	1	Employee 35	Team 6	85.316		56.059	 	 	 	 	 	 	 
123412	100022998	2017-10-05	10	 	 	1	Employee 35	Team 6	28.831		28.831	 	 	 	 	 	 	 
123824	100023038	2017-12-28	12	 	 	1	Employee 38	Team 6	74.072		73.717	 	 	 	 	 	 	 
124151	100023065	2017-06-21	6	 	 	1	Employee 61	Team 7	91.583		51.574	 	 	 	 	 	 	 
124394	100023082	2017-11-09	11	 	 	1	Employee 65	Team 12	56.705		55.577	 	 	 	 	 	 	 
124418	100023084	2017-07-28	7	 	 	1	Employee 26	Team 5	87.2		71.29	 	 	 	 	 	 	 
124440	100023084	2017-12-22	12	 	 	1	Employee 26	Team 5	97.4		73.031	 	 	 	 	 	 	 
124579	100023093	2017-06-29	6	 	 	1	Employee 44	Team 1	72.63600000000001		36.318000000000005	 	 	 	 	 	 	 
124618	100023097	2017-11-24	11	 	 	1	Employee 59	Team 7	74.619		43.758	 	 	 	 	 	 	 
124718	100023102	2017-07-27	7	 	 	1	Employee 38	Team 6	84.87299999999999		75.53699999999999	 	 	 	 	 	 	 
124751	100023106	2017-12-27	12	 	 	1	Employee 35	Team 6	77.173		67.294	 	 	 	 	 	 	 
124835	100023111	2017-06-30	6	 	 	1	Employee 26	Team 5	71.181		71.181	 	 	 	 	 	 	 
124845	100023112	2017-07-27	7	 	 	1	Employee 25	Team 11	50.177		50.177	 	 	 	 	 	 	 
125260	100023143	2017-06-29	6	 	 	1	Employee 6	Team 8	73.609		62.468999999999994	 	 	 	 	 	 	 
125272	100023145	2017-10-05	10	 	 	1	Employee 40	Team 6	25.936		25.936	 	 	 	 	 	 	 
125482	100023157	2017-08-25	8	 	 	1	Employee 35	Team 6	74.783		54.571000000000005	 	 	 	 	 	 	 
125830	100023186	2017-12-27	12	 	 	1	Employee 38	Team 6	61.65		60.35	 	 	 	 	 	 	 
125945	100023191	2017-06-27	6	 	 	1	Employee 61	Team 7	80.443		46.591	 	 	 	 	 	 	 
126024	100023195	2017-12-22	12	 	 	1	Employee 40	Team 6	77.616		59.622	 	 	 	 	 	 	 
126211	100023211	2017-09-29	9	 	 	1	Employee 39	Team 6	92.75		92.75	 	 	 	 	 	 	 
